"from","to","Saliency","IntegratedGradients"
"N1","N2","0.1","0.02"
"N1","N6","0.04","0.01"
"N1","N10","0.06","0.02"
"N1","N23","0.04","0.02"
"N10","N14","0.04","0.03"
"N10","N19","0.03","0.01"
"N14","N26","0.03","0.01"
"N14","N30","0.03","0.01"
"N15","N16","0.16","0.13"
"N15","N29","0.16","0.14"
"N17","N25","0.03","0.0"
"N2","N3","1.0","1.0"
"N2","N4","0.02","0.04"
"N2","N5","0.03","0.02"
"N2","N9","0.02","0.0"
"N2","N17","0.03","0.03"
"N2","N21","0.03","0.01"
"N3","N7","0.67","0.33"
"N3","N20","0.0","0.17"
"N3","N27","0.02","0.17"
"N4","N8","0.03","0.03"
"N4","N11","0.03","0.03"
"N4","N12","0.03","0.02"
"N4","N24","0.03","0.01"
"N5","N13","0.03","0.03"
"N7","N15","0.06","0.51"
"N8","N28","0.03","0.0"
"N9","N18","0.03","0.01"
"N9","N22","0.03","0.01"
